entry_dt,exit_dt,side,entry_px,exit_px,pnl,bars,entry_adx,entry_atr,regime,exit_reason
2024-12-05 22:25:00,2024-12-05 22:30:00,SHORT,95956.64375169296,95956.64375169296,162.52407460938562,,47.63114242171561,965.91016366578,0,EXIT_SHORT
2024-12-07 07:35:00,2024-12-07 09:20:00,SHORT,99473.78,99688.76103336521,-2.332338260586611,21.0,14.249285367729101,123.24838523434319,1,SL
2024-12-07 09:20:00,2024-12-07 09:25:00,LONG,99688.76103336523,99688.76103336523,-16.187030798943745,,14.980654422837391,126.60921486046175,1,EXIT
2024-12-11 10:05:00,2024-12-11 10:15:00,LONG,98091.92562682471,97868.8800200733,-2.391315173478084,2.0,18.61755297685027,147.2758929965612,1,SL
2024-12-11 10:15:00,2024-12-11 10:20:00,SHORT,97868.8800200733,97868.8800200733,-28.386025997059754,,17.29375556791977,141.84975778252095,1,EXIT_SHORT
2024-12-11 12:35:00,2024-12-11 12:45:00,LONG,98456.00397974566,98286.74337680315,-2.073319704028509,2.0,17.435945428405525,116.32289760980994,1,SL
2024-12-11 12:45:00,2024-12-11 12:50:00,SHORT,98286.74337680315,98286.74337680315,-15.32306494489322,,17.02327980835961,116.24340492339437,1,EXIT_SHORT
2024-12-11 13:30:00,2024-12-11 13:35:00,SHORT,98665.81002149676,98665.81002149676,-56.762576523725734,,19.671259820613166,165.56572360645643,1,EXIT_SHORT
2024-12-11 15:05:00,2024-12-11 15:20:00,LONG,99625.11271002617,100380.99498383477,3.0878322956587403,3.0,28.09264127736837,278.4028954758874,1,TP
2024-12-11 15:20:00,2024-12-11 15:25:00,SHORT,100380.99498383477,100380.99498383477,-25.88452316364519,,31.150943523110215,289.0334029418952,1,EXIT_SHORT
2024-12-11 18:00:00,2024-12-11 18:30:00,LONG,99781.88999999998,100564.88106224213,3.2199141311980135,6.0,20.217136352576166,274.94203381943447,1,TP
2024-12-11 18:30:00,2024-12-11 18:35:00,SHORT,100564.88106224214,100564.88106224214,-10.681862894974348,,19.958252723700095,277.0590314037607,1,EXIT_SHORT
2024-12-11 19:40:00,2024-12-11 20:45:00,LONG,100974.14561345577,101636.57804708337,2.5118066504453154,13.0,25.26206034707421,229.9123487110486,1,TP
2024-12-11 20:45:00,2024-12-11 20:50:00,SHORT,101636.57804708336,101636.57804708336,2.373130095154984,,25.64280925824033,224.44860951740216,1,EXIT_SHORT
2024-12-11 21:05:00,2024-12-11 21:10:00,SHORT,100974.14561345575,100974.14561345575,-11.207613679058284,,21.350209235958097,221.36874808482207,1,EXIT_SHORT
2024-12-12 09:00:00,2024-12-12 09:20:00,LONG,101092.10656312497,100916.66512762799,-2.0594845288486914,4.0,30.53759408833908,110.13298346572708,1,SL
2024-12-12 09:20:00,2024-12-12 09:25:00,SHORT,100916.66512762799,100916.66512762799,-24.011280956283578,,30.466318326631225,107.7377703610327,1,EXIT_SHORT
2024-12-12 13:15:00,2024-12-12 13:20:00,LONG,100989.18150283447,101442.9894341189,1.3697073157839794,1.0,30.734884854179274,165.31817267025986,1,TP
2024-12-12 13:20:00,2024-12-12 13:25:00,SHORT,101444.49845002913,101444.49845002913,5.218044928955187,,32.94258719549274,161.57758890809822,1,EXIT_SHORT
2024-12-12 13:35:00,2024-12-12 13:40:00,SHORT,100760.81291621328,100760.81291621328,-21.9103361169918,,28.05444451106877,259.2840790200766,1,EXIT_SHORT
2024-12-12 14:55:00,2024-12-12 15:05:00,LONG,101705.14569648594,101225.70631105345,-3.6933894050695035,2.0,14.74028175304552,335.6872317622157,1,SL
2024-12-12 15:05:00,2024-12-12 15:10:00,SHORT,101225.70631105345,101225.70631105345,-11.242811556627146,,15.031547855854818,345.92885806491506,1,EXIT_SHORT
2024-12-12 19:35:00,2024-12-12 19:40:00,SHORT,99781.88999999998,99781.88999999998,1.9550522619876851,,38.81978105029953,269.72990610230164,0,EXIT_SHORT
2024-12-13 01:50:00,2024-12-13 07:55:00,SHORT,99247.17157312186,99247.17157312186,-100.77120602698989,,20.118465598282377,119.7907762591886,2,EXIT_SHORT
2024-12-13 19:35:00,2024-12-13 20:45:00,LONG,101264.43999999999,101859.46605550243,2.0948658145705483,14.0,11.218769336493098,175.77843115076135,1,TP
2024-12-13 20:45:00,2024-12-13 20:50:00,SHORT,101859.46605550243,101859.46605550243,-6.603545778768556,,10.451283355828693,174.87997178284962,1,EXIT_SHORT
2024-12-13 21:25:00,2024-12-13 21:30:00,SHORT,101264.43999999999,101264.43999999999,-17.194617691685718,,12.642419278984947,148.5464041333391,1,EXIT_SHORT
2024-12-15 04:20:00,2024-12-15 06:05:00,SHORT,102664.02446735093,102664.02446735093,27.23340824822483,,22.476503413390244,123.93245320063899,2,EXIT_SHORT
2024-12-15 23:20:00,2024-12-16 06:05:00,SHORT,104234.89682183531,104234.89682183531,-87.414194600699,,13.15590962826382,137.52811551001375,1,EXIT_SHORT
2024-12-16 14:40:00,2024-12-16 15:10:00,LONG,105322.0458216376,106021.93950405941,2.4906872765022743,6.0,37.448529106175165,340.10159733334064,1,TP
2024-12-16 15:10:00,2024-12-16 15:15:00,SHORT,106021.93950405941,106021.93950405941,-17.672357824382466,,38.60906118268843,354.807911809531,1,EXIT_SHORT
2024-12-16 16:35:00,2024-12-16 16:45:00,LONG,106989.49369079842,106465.35407885544,-3.6999924937034523,2.0,40.88924695731186,357.61904564069357,1,SL
2024-12-16 16:45:00,2024-12-16 16:50:00,SHORT,106465.35407885544,106465.35407885544,-15.71096887646645,,41.024372162346786,371.7176852377869,1,EXIT_SHORT
2024-12-16 18:15:00,2024-12-16 19:00:00,LONG,107294.33600718208,106889.38203163838,-3.097112884072954,9.0,36.3912365004085,311.55791351932106,1,SL
2024-12-16 19:00:00,2024-12-16 19:05:00,SHORT,106889.38203163838,106889.38203163838,20.665601117598474,,35.943363638481756,312.4866339822265,1,EXIT_SHORT
2024-12-17 07:05:00,2024-12-17 08:25:00,LONG,106880.88945029133,107249.44153726604,0.7739917720489682,16.0,22.13755617047258,135.1216176457089,1,TP
2024-12-17 08:25:00,2024-12-17 08:30:00,SHORT,107249.44153726604,107249.44153726604,-19.30061822738557,,23.904907258561767,141.1929306710151,1,EXIT_SHORT
2024-12-17 12:05:00,2024-12-17 12:10:00,SHORT,106696.61340680398,106696.61340680398,-16.495907928594615,,21.295155985082726,128.277925719105,2,EXIT_SHORT
2024-12-17 14:20:00,2024-12-17 14:30:00,LONG,107673.16145053426,107449.59453832405,-2.177476814278176,2.0,24.811225968101517,168.07458559022285,1,SL
2024-12-17 14:30:00,2024-12-17 14:35:00,SHORT,107449.59453832405,107449.59453832405,-18.59979981148038,,23.795896726740562,195.88140090520662,1,EXIT_SHORT
2024-12-17 14:50:00,2024-12-17 15:00:00,SHORT,108087.27774188215,108087.27774188215,-74.52299353198161,,22.488194566490094,271.6936951796447,0,EXIT_SHORT
2024-12-17 22:45:00,2024-12-17 22:50:00,SHORT,105322.0458216376,105322.0458216376,-52.137217028105006,,25.80069022736463,211.85145081690902,0,EXIT_SHORT
2024-12-24 15:10:00,2024-12-24 16:20:00,LONG,97629.84884079224,98528.77116268247,3.7854445907729715,14.0,70.94272316623073,295.5951836828696,1,TP
2024-12-24 16:20:00,2024-12-24 16:25:00,SHORT,98528.77116268247,98528.77116268247,-18.74412372090164,,71.00580033474152,289.9098134198075,1,EXIT_SHORT
2024-12-24 18:10:00,2024-12-24 18:25:00,LONG,99123.03891699246,98718.17599778684,-3.19636226309356,3.0,42.2435323411933,303.80603219017837,1,SL
2024-12-24 18:25:00,2024-12-24 18:30:00,SHORT,98718.17599778684,98718.17599778684,4.968656652237151,,39.55033616193791,300.48845846230853,1,EXIT_SHORT
2024-12-24 19:55:00,2024-12-24 20:00:00,SHORT,97629.84884079224,97629.84884079224,-12.358622942641851,,27.751034891797882,236.44920298175202,1,EXIT_SHORT
